"
Autonomous communities",Gender,Measurements and percentiles,Year,Total
Andalusia, Women,Average,2018,"18.672,11"
Andalusia, Women,Average,2017,"18.287,29"
Andalusia, Women,Average,2016,"18.177,37"
Andalusia, Women,Average,2015,"18.340,96"
Andalusia, Women,Average,2014,"17.576,13"
Andalusia, Women,Average,2013,"17.690,19"
Andalusia, Women,Average,2012,"17.828,44"
Andalusia, Women,Average,2011,"18.389,21"
Andalusia, Women,Average,2010,"17.921,33"
Andalusia, Women,Average,2009,"18.371,23"
Andalusia, Women,Average,2008,"17.298,33"
Andalusia, Women,Median,2021,"16.516,76"
Andalusia, Women,Median,2020,"15.743,42"
Andalusia, Women,Median,2019,"15.977,45"
Andalusia, Women,Median,2018,"15.392,05"
Andalusia, Women,Median,2017,"15.368,02"
Andalusia, Women,Median,2016,"15.203,96"
Andalusia, Women,Median,2015,"15.295,34"
Andalusia, Women,Median,2014,"15.044,26"
Andalusia, Women,Median,2013,"15.029,15"
Andalusia, Women,Median,2012,"15.480,07"
Andalusia, Women,Median,2011,"15.578,41"
Andalusia, Women,Median,2010,"14.845,01"
Andalusia, Women,Median,2009,"15.963,82"
Andalusia, Women,Median,2008,"15.137,40"
Andalusia,Men,Average,2021,"25.464,78"
Andalusia,Men,Average,2020,"24.785,82"
Andalusia,Men,Average,2019,"24.527,67"
Andalusia,Men,Average,2018,"24.712,69"
Andalusia,Men,Average,2017,"24.175,52"
Andalusia,Men,Average,2016,"24.026,82"
Andalusia,Men,Average,2015,"24.200,20"
Andalusia,Men,Average,2014,"23.541,32"
Andalusia,Men,Average,2013,"23.565,36"
Andalusia,Men,Average,2012,"23.592,08"
Andalusia,Men,Average,2011,"23.815,22"
Andalusia,Men,Average,2010,"23.463,96"
Andalusia,Men,Average,2009,"22.908,86"
Andalusia,Men,Average,2008,"22.108,57"
Andalusia,Men,Median,2021,"20.997,73"
Andalusia,Men,Median,2020,"20.492,93"
Andalusia,Men,Median,2019,"20.433,90"
Andalusia,Men,Median,2018,"20.492,37"
Andalusia,Men,Median,2017,"20.410,32"
Andalusia,Men,Median,2016,"20.168,27"
Andalusia,Men,Median,2015,"20.109,36"
Andalusia,Men,Median,2014,"19.774,52"
Andalusia,Men,Median,2013,"19.750,02"
Andalusia,Men,Median,2012,"19.733,29"
Andalusia,Men,Median,2011,"19.772,01"
Andalusia,Men,Median,2010,"19.328,83"
Andalusia,Men,Median,2009,"19.125,41"
Andalusia,Men,Median,2008,"18.513,57"
Aragon,Both genders,Average,2021,"25.011,55"
Aragon,Both genders,Average,2020,"24.113,57"
Aragon,Both genders,Average,2019,"23.565,09"
Aragon,Both genders,Average,2018,"23.531,83"
Aragon,Both genders,Average,2017,"23.039,94"
Aragon,Both genders,Average,2016,"22.248,76"
Aragon,Both genders,Average,2015,"22.327,18"
Aragon,Both genders,Average,2014,"22.095,79"
Aragon,Both genders,Average,2013,"22.054,85"
Aragon,Both genders,Average,2012,"22.103,79"
Aragon,Both genders,Average,2011,"22.333,53"
Aragon,Both genders,Average,2010,"22.316,69"
Aragon,Both genders,Average,2009,"22.133,77"
Aragon,Both genders,Average,2008,"21.594,47"
Aragon,Both genders,Median,2021,"22.220,28"
Aragon,Both genders,Median,2020,"21.207,60"
Aragon,Both genders,Median,2019,"20.604,72"
Aragon,Both genders,Median,2018,"20.859,78"
Aragon,Both genders,Median,2017,"20.198,39"
Aragon,Both genders,Median,2016,"19.417,81"
Aragon,Both genders,Median,2015,"19.589,29"
Aragon,Both genders,Median,2014,"19.539,86"
Aragon,Both genders,Median,2013,"19.094,86"
Aragon,Both genders,Median,2012,"19.094,81"
Aragon,Both genders,Median,2011,"19.646,75"
Aragon,Both genders,Median,2010,"19.552,41"
Aragon,Both genders,Median,2009,"19.413,22"
Aragon,Both genders,Median,2008,"19.084,91"
Aragon, Women,Average,2021,"22.283,81"
Aragon, Women,Average,2020,"21.365,11"
Aragon, Women,Average,2019,"20.360,25"
Aragon, Women,Average,2018,"20.074,25"
Aragon, Women,Average,2017,"19.677,22"
Aragon, Women,Average,2016,"18.766,21"
Aragon, Women,Average,2015,"18.950,17"
Aragon, Women,Average,2014,"18.764,63"
Aragon, Women,Average,2013,"18.701,61"
Aragon, Women,Average,2012,"18.042,28"
Aragon, Women,Average,2011,"18.831,38"
Aragon, Women,Average,2010,"18.843,25"
Aragon, Women,Average,2009,"18.861,82"
Aragon, Women,Average,2008,"17.843,46"
Aragon, Women,Median,2021,"19.156,20"
Aragon, Women,Median,2020,"18.795,58"
Aragon, Women,Median,2019,"17.600,08"
Aragon, Women,Median,2018,"17.347,52"
Aragon, Women,Median,2017,"16.812,83"
Aragon, Women,Median,2016,"16.411,68"
Aragon, Women,Median,2015,"16.324,07"
Aragon, Women,Median,2014,"16.691,51"
Aragon, Women,Median,2013,"16.160,06"
Aragon, Women,Median,2012,"15.734,04"
Aragon, Women,Median,2011,"16.206,05"
Aragon, Women,Median,2010,"16.412,07"
Aragon, Women,Median,2009,"15.878,02"
Aragon, Women,Median,2008,"15.608,17"
Aragon,Men,Average,2021,"27.389,18"
Aragon,Men,Average,2020,"26.505,70"
Aragon,Men,Average,2019,"26.404,73"
Aragon,Men,Average,2018,"26.640,59"
Aragon,Men,Average,2017,"25.878,46"
Aragon,Men,Average,2016,"25.326,91"
Aragon,Men,Average,2015,"25.555,56"
Aragon,Men,Average,2014,"25.118,61"
Aragon,Men,Average,2013,"25.128,91"
Aragon,Men,Average,2012,"25.766,27"
Aragon,Men,Average,2011,"25.258,68"
Aragon,Men,Average,2010,"25.263,29"
Aragon,Men,Average,2009,"24.787,81"
Aragon,Men,Average,2008,"24.272,36"
Aragon,Men,Median,2021,"24.341,89"
Aragon,Men,Median,2020,"23.057,14"
Aragon,Men,Median,2019,"23.180,28"
Aragon,Men,Median,2018,"23.305,59"
Aragon,Men,Median,2017,"22.790,36"
Aragon,Men,Median,2016,"22.380,02"
Aragon,Men,Median,2015,"22.452,41"
Aragon,Men,Median,2014,"22.364,62"
Aragon,Men,Median,2013,"22.275,40"
Aragon,Men,Median,2012,"22.231,84"
Aragon,Men,Median,2011,"22.542,61"
Aragon,Men,Median,2010,"22.129,41"
Aragon,Men,Median,2009,"21.989,38"
Aragon,Men,Median,2008,"21.551,60"
Asturias,Both genders,Average,2021,"25.046,60"
Asturias,Both genders,Average,2020,"24.527,96"
Asturias,Both genders,Average,2019,"24.865,89"
Asturias,Both genders,Average,2018,"23.914,61"
Asturias,Both genders,Average,2017,"23.609,67"
Asturias,Both genders,Average,2016,"23.095,83"
Asturias,Both genders,Average,2015,"22.826,06"
Asturias,Both genders,Average,2014,"22.045,29"
Asturias,Both genders,Average,2013,"21.994,99"
Asturias,Both genders,Average,2012,"21.750,66"
Asturias,Both genders,Average,2011,"22.286,48"
Asturias,Both genders,Average,2010,"22.241,39"
Asturias,Both genders,Average,2009,"22.597,97"
Asturias,Both genders,Average,2008,"21.805,67"
Asturias,Both genders,Median,2021,"21.975,31"
Asturias,Both genders,Median,2020,"21.331,73"
Asturias,Both genders,Median,2019,"21.559,07"
Asturias,Both genders,Median,2018,"20.890,13"
Asturias,Both genders,Median,2017,"20.174,85"
Asturias,Both genders,Median,2016,"20.081,25"
Asturias,Both genders,Median,2015,"19.959,74"
Asturias,Both genders,Median,2014,"19.212,77"
Asturias,Both genders,Median,2013,"19.057,38"
Asturias,Both genders,Median,2012,"18.784,70"
Asturias,Both genders,Median,2011,"19.276,74"
Asturias,Both genders,Median,2010,"19.055,80"
Asturias,Both genders,Median,2009,"19.202,33"
Asturias,Both genders,Median,2008,"18.697,53"
Asturias, Women,Average,2021,"21.808,96"
Asturias, Women,Average,2020,"21.308,01"
Asturias, Women,Average,2019,"21.298,58"
Asturias, Women,Average,2018,"19.744,94"
Asturias, Women,Average,2017,"19.426,48"
Asturias, Women,Average,2016,"19.077,92"
Asturias, Women,Average,2015,"18.925,34"
Asturias, Women,Average,2014,"18.400,68"
Asturias, Women,Average,2013,"18.455,34"
Asturias, Women,Average,2012,"18.026,01"
Asturias, Women,Average,2011,"18.721,59"
Asturias, Women,Average,2010,"18.786,13"
Asturias, Women,Average,2009,"19.289,76"
Asturias, Women,Average,2008,"18.452,09"
Asturias, Women,Median,2021,"17.878,32"
Asturias, Women,Median,2020,"17.389,89"
Asturias, Women,Median,2019,"17.275,56"
Asturias, Women,Median,2018,"16.734,00"
Asturias, Women,Median,2017,"15.795,60"
Asturias, Women,Median,2016,"15.912,63"
Asturias, Women,Median,2015,"15.594,05"
Asturias, Women,Median,2014,"15.954,87"
Asturias, Women,Median,2013,"15.431,98"
Asturias, Women,Median,2012,"15.474,56"
Asturias, Women,Median,2011,"15.478,73"
Asturias, Women,Median,2010,"15.362,12"
Asturias, Women,Median,2009,"15.857,50"
Asturias, Women,Median,2008,"15.419,78"
Asturias,Men,Average,2021,"28.399,51"
Asturias,Men,Average,2020,"27.948,09"
Asturias,Men,Average,2019,"28.481,75"
Asturias,Men,Average,2018,"27.912,91"
Asturias,Men,Average,2017,"27.849,00"
Asturias,Men,Average,2016,"27.010,87"
Asturias,Men,Average,2015,"26.514,68"
Asturias,Men,Average,2014,"25.322,01"
Asturias,Men,Average,2013,"25.500,04"
Asturias,Men,Average,2012,"25.048,82"
Asturias,Men,Average,2011,"25.346,39"
Asturias,Men,Average,2010,"25.170,79"
Asturias,Men,Average,2009,"25.175,71"
Asturias,Men,Average,2008,"24.306,27"
Asturias,Men,Median,2021,"24.842,33"
Asturias,Men,Median,2020,"24.674,08"
Asturias,Men,Median,2019,"24.572,07"
Asturias,Men,Median,2018,"24.328,16"
Asturias,Men,Median,2017,"24.030,46"
Asturias,Men,Median,2016,"23.437,86"
Asturias,Men,Median,2015,"23.248,86"
Asturias,Men,Median,2014,"22.433,47"
Asturias,Men,Median,2013,"22.383,08"
Asturias,Men,Median,2012,"21.732,37"
Asturias,Men,Median,2011,"22.029,51"
Asturias,Men,Median,2010,"21.831,09"
Asturias,Men,Median,2009,"21.397,37"
Asturias,Men,Median,2008,"21.173,29"
Balearic Islands,Both genders,Average,2021,"24.134,73"
Balearic Islands,Both genders,Average,2020,"23.881,42"
Balearic Islands,Both genders,Average,2019,"23.325,33"
Balearic Islands,Both genders,Average,2018,"22.800,87"
Balearic Islands,Both genders,Average,2017,"22.036,46"
Balearic Islands,Both genders,Average,2016,"21.478,34"
Balearic Islands,Both genders,Average,2015,"21.395,42"
Balearic Islands,Both genders,Average,2014,"21.322,08"
Balearic Islands,Both genders,Average,2013,"20.776,29"
Balearic Islands,Both genders,Average,2012,"20.960,53"
Balearic Islands,Both genders,Average,2011,"21.351,00"
Balearic Islands,Both genders,Average,2010,"21.613,60"
Balearic Islands,Both genders,Average,2009,"21.070,14"
Balearic Islands,Both genders,Average,2008,"20.388,09"
Balearic Islands,Both genders,Median,2021,"20.837,19"
Balearic Islands,Both genders,Median,2020,"20.241,15"
Balearic Islands,Both genders,Median,2019,"20.276,91"
Balearic Islands,Both genders,Median,2018,"20.121,18"
Balearic Islands,Both genders,Median,2017,"19.264,02"
Balearic Islands,Both genders,Median,2016,"18.847,22"
Balearic Islands,Both genders,Median,2015,"18.610,00"
Balearic Islands,Both genders,Median,2014,"18.714,35"
Balearic Islands,Both genders,Median,2013,"18.030,53"
Balearic Islands,Both genders,Median,2012,"18.088,52"
Balearic Islands,Both genders,Median,2011,"18.403,17"
Balearic Islands,Both genders,Median,2010,"18.406,42"
Balearic Islands,Both genders,Median,2009,"17.224,24"
Balearic Islands,Both genders,Median,2008,"16.813,32"
Balearic Islands, Women,Average,2021,"22.344,76"
Balearic Islands, Women,Average,2020,"21.998,23"
Balearic Islands, Women,Average,2019,"21.631,07"
Balearic Islands, Women,Average,2018,"21.085,74"
Balearic Islands, Women,Average,2017,"20.465,58"
Balearic Islands, Women,Average,2016,"19.702,60"
Balearic Islands, Women,Average,2015,"19.517,28"
Balearic Islands, Women,Average,2014,"19.008,38"
Balearic Islands, Women,Average,2013,"18.998,37"
Balearic Islands, Women,Average,2012,"19.022,24"
Balearic Islands, Women,Average,2011,"19.377,39"
Balearic Islands, Women,Average,2010,"19.812,19"
Balearic Islands, Women,Average,2009,"18.702,72"
Balearic Islands, Women,Average,2008,"18.159,78"
Balearic Islands, Women,Median,2021,"19.752,60"
Balearic Islands, Women,Median,2020,"18.585,29"
Balearic Islands, Women,Median,2019,"19.288,65"
Balearic Islands, Women,Median,2018,"18.732,27"
Balearic Islands, Women,Median,2017,"18.113,66"
Balearic Islands, Women,Median,2016,"17.582,01"
Balearic Islands, Women,Median,2015,"17.370,54"
Balearic Islands, Women,Median,2014,"17.133,18"
Balearic Islands, Women,Median,2013,"16.887,80"
Balearic Islands, Women,Median,2012,"16.999,82"
Balearic Islands, Women,Median,2011,"17.358,36"
Balearic Islands, Women,Median,2010,"17.240,49"
Balearic Islands, Women,Median,2009,"15.889,99"
Balearic Islands, Women,Median,2008,"15.385,11"
Balearic Islands,Men,Average,2021,"25.898,51"
Balearic Islands,Men,Average,2020,"25.699,53"
Balearic Islands,Men,Average,2019,"24.914,51"
Balearic Islands,Men,Average,2018,"24.437,58"
Balearic Islands,Men,Average,2017,"23.538,43"
Balearic Islands,Men,Average,2016,"23.286,85"
Balearic Islands,Men,Average,2015,"23.411,35"
Balearic Islands,Men,Average,2014,"23.770,56"
Balearic Islands,Men,Average,2013,"22.584,78"
Balearic Islands,Men,Average,2012,"22.859,04"
Balearic Islands,Men,Average,2011,"23.188,80"
Balearic Islands,Men,Average,2010,"23.213,04"
Balearic Islands,Men,Average,2009,"23.285,93"
Balearic Islands,Men,Average,2008,"22.253,73"
Balearic Islands,Men,Median,2021,"21.946,42"
Balearic Islands,Men,Median,2020,"21.624,74"
Balearic Islands,Men,Median,2019,"21.327,78"
Balearic Islands,Men,Median,2018,"21.311,13"
Balearic Islands,Men,Median,2017,"20.252,93"
Balearic Islands,Men,Median,2016,"20.106,69"
Balearic Islands,Men,Median,2015,"19.994,15"
Balearic Islands,Men,Median,2014,"20.330,19"
Balearic Islands,Men,Median,2013,"19.295,00"
Balearic Islands,Men,Median,2012,"19.510,20"
Balearic Islands,Men,Median,2011,"19.921,20"
Balearic Islands,Men,Median,2010,"19.609,49"
Balearic Islands,Men,Median,2009,"18.869,73"
Balearic Islands,Men,Median,2008,"18.199,91"
Canary Islands,Both genders,Average,2021,"22.466,23"
Canary Islands,Both genders,Average,2020,"21.631,17"
Canary Islands,Both genders,Average,2019,"20.861,14"
Canary Islands,Both genders,Average,2018,"20.763,48"
Canary Islands,Both genders,Average,2017,"20.185,33"
Canary Islands,Both genders,Average,2016,"19.749,03"
Canary Islands,Both genders,Average,2015,"19.856,61"
Canary Islands,Both genders,Average,2014,"19.436,48"
Canary Islands,Both genders,Average,2013,"19.167,93"
Canary Islands,Both genders,Average,2012,"19.277,62"
Canary Islands,Both genders,Average,2011,"19.516,96"
Canary Islands,Both genders,Average,2010,"19.315,56"
Canary Islands,Both genders,Average,2009,"18.926,36"
Canary Islands,Both genders,Average,2008,"18.466,99"
Canary Islands,Both genders,Median,2021,"18.179,70"
Canary Islands,Both genders,Median,2020,"17.702,02"
Canary Islands,Both genders,Median,2019,"17.379,17"
Canary Islands,Both genders,Median,2018,"17.413,53"
Canary Islands,Both genders,Median,2017,"17.223,25"
Canary Islands,Both genders,Median,2016,"16.833,69"
Canary Islands,Both genders,Median,2015,"17.025,12"
Canary Islands,Both genders,Median,2014,"16.509,48"
Canary Islands,Both genders,Median,2013,"16.405,41"
Canary Islands,Both genders,Median,2012,"16.584,60"
Canary Islands,Both genders,Median,2011,"16.487,68"
Canary Islands,Both genders,Median,2010,"15.897,41"
Canary Islands,Both genders,Median,2009,"16.229,38"
Canary Islands,Both genders,Median,2008,"15.725,28"
Canary Islands, Women,Average,2021,"21.178,57"
Canary Islands, Women,Average,2020,"20.461,63"
Canary Islands, Women,Average,2019,"19.540,82"
Canary Islands, Women,Average,2018,"19.051,01"
Canary Islands, Women,Average,2017,"18.917,73"
Canary Islands, Women,Average,2016,"18.211,44"
Canary Islands, Women,Average,2015,"18.279,76"
Canary Islands, Women,Average,2014,"18.201,48"
Canary Islands, Women,Average,2013,"17.619,86"
Canary Islands, Women,Average,2012,"17.498,71"
Canary Islands, Women,Average,2011,"17.824,94"
Canary Islands, Women,Average,2010,"17.601,79"
Canary Islands, Women,Average,2009,"17.528,33"
Canary Islands, Women,Average,2008,"17.131,85"
Canary Islands, Women,Median,2021,"17.152,56"
Canary Islands, Women,Median,2020,"17.094,27"
Canary Islands, Women,Median,2019,"16.333,36"
Canary Islands, Women,Median,2018,"16.098,78"
Canary Islands, Women,Median,2017,"16.343,72"
Canary Islands, Women,Median,2016,"15.780,72"
Canary Islands, Women,Median,2015,"15.389,18"
Canary Islands, Women,Median,2014,"15.355,31"
Canary Islands, Women,Median,2013,"14.859,15"
Canary Islands, Women,Median,2012,"14.680,25"
Canary Islands, Women,Median,2011,"14.889,88"
Canary Islands, Women,Median,2010,"14.370,70"
Canary Islands, Women,Median,2009,"15.139,91"
Canary Islands, Women,Median,2008,"14.621,63"
Canary Islands,Men,Average,2021,"23.619,76"
Canary Islands,Men,Average,2020,"22.697,51"
Canary Islands,Men,Average,2019,"22.082,69"
Canary Islands,Men,Average,2018,"22.333,63"
Canary Islands,Men,Average,2017,"21.291,66"
Canary Islands,Men,Average,2016,"21.149,44"
Canary Islands,Men,Average,2015,"21.336,72"
Canary Islands,Men,Average,2014,"20.641,49"
Canary Islands,Men,Average,2013,"20.678,43"
Canary Islands,Men,Average,2012,"21.089,85"
Canary Islands,Men,Average,2011,"21.090,86"
Canary Islands,Men,Average,2010,"20.986,94"
Canary Islands,Men,Average,2009,"20.109,24"
Canary Islands,Men,Average,2008,"19.516,93"
Canary Islands,Men,Median,2021,"18.679,87"
Canary Islands,Men,Median,2020,"18.181,65"
Canary Islands,Men,Median,2019,"18.239,21"
Canary Islands,Men,Median,2018,"18.307,59"
Canary Islands,Men,Median,2017,"17.776,74"
Canary Islands,Men,Median,2016,"17.736,72"
Canary Islands,Men,Median,2015,"18.042,41"
Canary Islands,Men,Median,2014,"17.254,37"
Canary Islands,Men,Median,2013,"17.603,76"
Canary Islands,Men,Median,2012,"17.941,68"
Canary Islands,Men,Median,2011,"17.775,63"
Canary Islands,Men,Median,2010,"16.986,20"
Canary Islands,Men,Median,2009,"16.949,10"
Canary Islands,Men,Median,2008,"16.310,40"
Cantabria,Both genders,Average,2021,"24.470,70"
Cantabria,Both genders,Average,2020,"23.495,12"
Cantabria,Both genders,Average,2019,"23.347,52"
Cantabria,Both genders,Average,2018,"22.554,83"
Cantabria,Both genders,Average,2017,"22.390,40"
Cantabria,Both genders,Average,2016,"22.063,02"
Cantabria,Both genders,Average,2015,"21.856,81"
Cantabria,Both genders,Average,2014,"21.199,83"
Cantabria,Both genders,Average,2013,"20.052,12"
Cantabria,Both genders,Average,2012,"20.191,51"
Cantabria,Both genders,Average,2011,"20.931,68"
Cantabria,Both genders,Average,2010,"21.156,79"
Cantabria,Both genders,Average,2009,"20.869,86"
Cantabria,Both genders,Average,2008,"20.377,68"
Cantabria,Both genders,Median,2021,"20.871,86"
Cantabria,Both genders,Median,2020,"20.086,04"
Cantabria,Both genders,Median,2019,"20.114,15"
Cantabria,Both genders,Median,2018,"18.910,81"
Cantabria,Both genders,Median,2017,"19.092,46"
Cantabria,Both genders,Median,2016,"18.590,39"
Cantabria,Both genders,Median,2015,"18.861,30"
Cantabria,Both genders,Median,2014,"18.514,74"
Cantabria,Both genders,Median,2013,"17.632,21"
Cantabria,Both genders,Median,2012,"17.284,05"
Cantabria,Both genders,Median,2011,"18.023,05"
Cantabria,Both genders,Median,2010,"18.071,76"
Cantabria,Both genders,Median,2009,"18.002,19"
Cantabria,Both genders,Median,2008,"17.624,84"
Cantabria, Women,Average,2021,"21.532,96"
Cantabria, Women,Average,2020,"20.996,83"
Cantabria, Women,Average,2019,"20.600,16"
Cantabria, Women,Average,2018,"19.630,01"
Cantabria, Women,Average,2017,"19.012,20"
Cantabria, Women,Average,2016,"18.216,84"
Cantabria, Women,Average,2015,"17.955,79"
Cantabria, Women,Average,2014,"17.668,55"
Cantabria, Women,Average,2013,"16.542,34"
Cantabria, Women,Average,2012,"16.771,99"
Cantabria, Women,Average,2011,"17.606,84"
Cantabria, Women,Average,2010,"17.887,59"
Cantabria, Women,Average,2009,"18.210,65"
Cantabria, Women,Average,2008,"17.460,14"
Cantabria, Women,Median,2021,"18.036,06"
Cantabria, Women,Median,2020,"17.287,20"
Cantabria, Women,Median,2019,"17.278,21"
Cantabria, Women,Median,2018,"16.163,33"
Cantabria, Women,Median,2017,"15.998,06"
Cantabria, Women,Median,2016,"15.414,19"
Cantabria, Women,Median,2015,"15.456,00"
Cantabria, Women,Median,2014,"15.060,50"
Cantabria, Women,Median,2013,"14.575,17"
Cantabria, Women,Median,2012,"14.449,44"
Cantabria, Women,Median,2011,"14.912,60"
Cantabria, Women,Median,2010,"14.813,15"
Cantabria, Women,Median,2009,"14.415,90"
Cantabria, Women,Median,2008,"15.029,34"
Cantabria,Men,Average,2021,"27.233,75"
Cantabria,Men,Average,2020,"25.804,13"
Cantabria,Men,Average,2019,"25.795,43"
Cantabria,Men,Average,2018,"25.349,01"
Cantabria,Men,Average,2017,"25.249,94"
Cantabria,Men,Average,2016,"25.210,05"
Cantabria,Men,Average,2015,"25.259,83"
Cantabria,Men,Average,2014,"24.685,21"
Cantabria,Men,Average,2013,"23.224,60"
Cantabria,Men,Average,2012,"23.309,90"
Cantabria,Men,Average,2011,"23.793,64"
Cantabria,Men,Average,2010,"23.924,51"
Cantabria,Men,Average,2009,"22.933,00"
Cantabria,Men,Average,2008,"22.539,72"
Cantabria,Men,Median,2021,"22.998,26"
Cantabria,Men,Median,2020,"21.706,80"
Cantabria,Men,Median,2019,"21.609,68"
Cantabria,Men,Median,2018,"21.445,24"
Cantabria,Men,Median,2017,"21.322,62"
Cantabria,Men,Median,2016,"20.692,84"
Cantabria,Men,Median,2015,"21.468,08"
Cantabria,Men,Median,2014,"21.015,31"
Cantabria,Men,Median,2013,"20.001,84"
Cantabria,Men,Median,2012,"19.685,54"
Cantabria,Men,Median,2011,"20.318,96"
Cantabria,Men,Median,2010,"20.491,20"
Cantabria,Men,Median,2009,"20.134,47"
Cantabria,Men,Median,2008,"19.401,56"
Castilla y Leon,Both genders,Average,2021,"23.564,33"
Castilla y Leon,Both genders,Average,2020,"22.948,76"
